ST,state_county5,fips,lon,lat,den,r0.est,r0.est.cor,r0.l66.cor,r0.u66.cor,r0.pred,r0.pred.se,R0.pred,R0.pred.l66,R0.pred.u66
IN,IN_Crawford Cou,18025,-86.423444,38.313435,13.22174232,0.115398229,0.13519295,0.107167934,0.162103297,0.091854957,0.026678307,1.902382192,1.592853858,2.256084095
IN,IN_Daviess Coun,18027,-87.098076,38.696963,29.47397215,0.115398229,0.13519295,0.107167934,0.162103297,0.101669148,0.027371676,2.02717069,1.693931746,2.408313558
IN,IN_Dearborn Cou,18029,-84.920935,39.14462,62.18518505,0.115398229,0.13519295,0.107167934,0.162103297,0.107499924,0.025861176,2.1042144,1.778829601,2.473106835
IN,IN_Decatur Coun,18031,-85.494211,39.319975,27.45951089,0.115398229,0.13519295,0.107167934,0.162103297,0.105521427,0.025855528,2.077825943,1.755699475,2.443188383
IN,IN_DeKalb Count,18033,-85.034285,41.378214,46.13125318,0.115398229,0.13519295,0.107167934,0.162103297,0.13443888,0.026927866,2.489473832,2.104363036,2.925481009
IN,IN_Delaware Cou,18035,-85.401962,40.20517,111.2962185,0.115398229,0.13519295,0.107167934,0.162103297,0.126728701,0.026455391,2.374168821,2.009050987,2.787385095
IN,IN_Dubois Count,18037,-86.914032,38.357067,37.91028101,0.115398229,0.13519295,0.107167934,0.162103297,0.100109906,0.027323703,2.006937934,1.676849988,2.384539658
IN,IN_Elkhart Coun,18039,-85.906728,41.637679,170.2794523,0.115398229,0.13519295,0.107167934,0.162103297,0.14370925,0.027048294,2.633643958,2.22974355,3.090185762
IN,IN_Fayette Coun,18041,-85.147496,39.640791,41.46009835,0.115398229,0.13519295,0.107167934,0.162103297,0.111428037,0.026137937,2.157362248,1.822257202,2.537423716
IN,IN_Floyd County,18043,-85.855645,38.321514,204.3921767,0.115398229,0.13519295,0.107167934,0.162103297,0.11070857,0.025665657,2.147552158,1.819291788,2.519068516
IN,IN_Fountain Cou,18045,-87.271946,40.152089,15.85933228,0.115398229,0.13519295,0.107167934,0.162103297,0.109941107,0.026752732,2.137125097,1.797161757,2.523981312
IN,IN_Franklin Cou,18047,-85.070265,39.401885,22.45223455,0.115398229,0.13519295,0.107167934,0.162103297,0.104039993,0.026006266,2.058232953,1.736739343,2.423276725
IN,IN_Fulton Count,18049,-86.220078,41.059389,20.76523032,0.115398229,0.13519295,0.107167934,0.162103297,0.121224272,0.026823443,2.294355199,1.93417173,2.703229502
IN,IN_Gibson Count,18051,-87.546685,38.30918,26.03951886,0.115398229,0.13519295,0.107167934,0.162103297,0.098410945,0.027826212,1.985068294,1.652205519,2.366957294
IN,IN_Grant County,18053,-85.644413,40.525253,61.2128395,0.115398229,0.13519295,0.107167934,0.162103297,0.125049809,0.026652484,2.349605835,1.984893702,2.762908389
IN,IN_Greene Count,18055,-86.992172,39.052316,22.57559138,0.115398229,0.13519295,0.107167934,0.162103297,0.103168315,0.027045097,2.046770498,1.714746949,2.425771157
IN,IN_Hamilton Cou,18057,-86.059737,40.002534,324.038936,0.115398229,0.13519295,0.107167934,0.162103297,0.135775007,0.025537514,2.509877259,2.141147335,2.924549396
IN,IN_Hancock Coun,18059,-85.824125,39.811662,98.38895357,0.115398229,0.13519295,0.107167934,0.162103297,0.121720501,0.025512329,2.301465897,1.956985349,2.690055378
IN,IN_Harrison Cou,18061,-86.097474,38.233745,32.12691779,0.115398229,0.13519295,0.107167934,0.162103297,0.095154864,0.026128442,1.943664817,1.634930976,2.295200251
IN,IN_Hendricks Co,18063,-86.415055,39.772784,160.8153503,0.115398229,0.13519295,0.107167934,0.162103297,0.126066744,0.025577018,2.364461007,2.011852209,2.761944885
IN,IN_Henry County,18065,-85.403678,39.928644,46.89965117,0.115398229,0.13519295,0.107167934,0.162103297,0.116369505,0.026188999,2.225664381,1.881693321,2.615414813
IN,IN_Howard Count,18067,-86.132959,40.470704,108.4248259,0.115398229,0.13519295,0.107167934,0.162103297,0.128601279,0.026398675,2.401794097,2.034128478,2.817600825
IN,IN_Huntington C,18069,-85.487085,40.870224,36.34602537,0.115398229,0.13519295,0.107167934,0.162103297,0.125255246,0.026964901,2.35260111,1.983522844,2.771444055
IN,IN_Jackson Coun,18071,-85.942654,38.925896,33.23862301,0.115398229,0.13519295,0.107167934,0.162103297,0.103042975,0.025906782,2.045126306,1.726380652,2.406961732
IN,IN_Jasper Count,18073,-87.149436,41.075783,23.08796492,0.115398229,0.13519295,0.107167934,0.162103297,0.119021316,0.02598591,2.26298889,1.9170719,2.654319784
IN,"IN_Jay County, ",18075,-85.033025,40.428424,20.55642443,0.115398229,0.13519295,0.107167934,0.162103297,0.117103132,0.026755536,2.235943139,1.883750032,2.636017909
IN,IN_Jefferson Co,18077,-85.433692,38.758956,34.36697093,0.115398229,0.13519295,0.107167934,0.162103297,0.099713544,0.02583311,2.001819422,1.689204625,2.356854802
IN,IN_Jennings Cou,18079,-85.648821,39.005169,28.30100839,0.115398229,0.13519295,0.107167934,0.162103297,0.102141545,0.025846244,2.033331179,1.716718992,2.392716951
IN,IN_Johnson Coun,18081,-86.113609,39.553276,189.9016592,0.007416437,0.145956009,0.116030888,0.172896302,0.123781899,0.024547977,2.331183551,1.995639058,2.707802418
IN,"IN_Knox County,",18083,-87.45768,38.698623,26.95964754,0.115398229,0.13519295,0.107167934,0.162103297,0.101414456,0.027648579,2.023855195,1.687907906,2.408643353
IN,IN_Kosciusko Co,18085,-85.830484,41.266796,55.33969032,0.115398229,0.13519295,0.107167934,0.162103297,0.131077071,0.027048177,2.438690364,2.0580867,2.870178067
IN,IN_LaGrange Cou,18087,-85.46117,41.6324,39.54965932,0.115398229,0.13519295,0.107167934,0.162103297,0.13374418,0.027046068,2.47891491,2.093489525,2.915587776
